BTCUSDT +0,Ci05_2,30m,None,None,2024-01-01,2024-12-31,Total,1,5,2025-10-13 13:19:04
CciPeriod,IchimokuTenkan,IchimokuKijun,IchimokuSenkou,EntryLevel,BaseExitLevel,MaxHoldingBars,Win,Lose,WinRate,EstimatedMoney,MDD,ResultPerRisk
10,9,26,52,50,200,20,361,332,52.09%,2935681157,26.98%,10882.4877
END

BTCUSDT +0,Ci05,30m,None,None,2024-01-01,2024-12-31,Total,1,5,2025-10-13 13:19:18
CciPeriod,IchimokuTenkan,IchimokuKijun,IchimokuSenkou,EntryLevel,ExitLevel,Win,Lose,WinRate,EstimatedMoney,MDD,ResultPerRisk
15,9,26,52,50,200,177,91,66.04%,302501228,11.79%,2566.5694
15,9,26,52,75,150,213,111,65.74%,483197230,11.52%,4194.4708
15,9,26,52,75,175,210,104,66.88%,989224859,12.24%,8081.6530
15,9,26,52,75,200,201,103,66.12%,826815028,12.20%,6779.8194
15,9,26,52,100,150,222,132,62.71%,482373265,17.52%,2753.7846
15,9,26,52,100,175,217,120,64.39%,1140712095,16.18%,7051.3606
15,9,26,52,100,200,203,119,63.04%,1004375693,16.18%,6208.5913
20,9,26,52,50,150,167,75,69.01%,237559918,13.98%,1698.7626
20,9,26,52,50,175,163,74,68.78%,147407103,13.01%,1132.6711
20,9,26,52,50,200,157,73,68.26%,184132828,11.76%,1565.8899
20,9,26,52,75,150,195,99,66.33%,753723852,13.63%,5529.4102
20,9,26,52,75,175,189,98,65.85%,328303299,13.53%,2426.2656
20,9,26,52,75,200,187,92,67.03%,549746142,11.76%,4675.1138
20,9,26,52,100,150,201,118,63.01%,556805326,18.18%,3062.9407
20,9,26,52,100,175,197,111,63.96%,321743103,17.44%,1844.4812
20,9,26,52,100,200,192,103,65.08%,622970747,17.44%,3571.3519
25,9,26,52,50,150,150,79,65.50%,179764348,17.24%,1043.0073
25,9,26,52,50,175,148,74,66.67%,184833383,16.27%,1136.0217
